"","numero","aldeia","genero","idade","EP_2019","lista_livre","roteiro_plantas","turne_guiada","obs_partivipante","TCP_individual","TCP_coletivo"
"1",56,1,"M",77,"sim",1,0,0,0,0,1
"3",62,2,"M",28,"sim",1,0,0,0,1,1
"4",44,3,"M",59,"sim",1,1,0,0,0,0
"5",43,3,"M",46,"sim",1,1,0,0,1,1
"6",70,3,"M",35,"sim",1,0,0,0,1,1
"8",60,4,"M",40,"sim",1,0,1,0,1,1
"10",73,4,"M",19,"sim",1,0,0,0,1,1
"11",66,5,"M",44,"sim",1,0,0,0,1,1
"12",75,5,"M",32,"sim",1,0,0,0,0,1
"13",74,5,"M",21,"sim",1,0,0,0,0,1
"14",72,6,"M",30,"sim",1,0,1,0,1,1
"17",32,8,"M",69,"sim",1,1,1,0,0,1
"18",61,8,"M",29,"sim",1,0,0,0,1,1
"19",79,8,"M",NA,"sim",1,1,1,0,1,1
"20",30,8,"M",13,"sim",1,1,0,0,1,1
"21",55,8,"M",36,"sim",1,0,0,0,1,1
"22",53,8,"M",38,"sim",1,0,1,0,1,1
"23",31,8,"M",32,"sim",1,1,1,0,1,1
"24",34,8,"M",42,"sim",1,1,0,0,1,1
"25",78,8,"M",87,"sim",1,0,0,0,1,1
"27",42,8,"F",30,"sim",1,1,0,0,0,1
"28",45,8,"F",44,"sim",1,1,0,0,1,1
"30",33,9,"M",43,"sim",0,0,0,0,1,0
"31",68,9,"M",44,"sim",1,0,0,0,1,1
"32",64,10,"M",40,"sim",1,0,1,0,1,1
"33",49,11,"M",21,"sim",0,0,0,0,1,1
"34",35,11,"M",22,"sim",1,1,0,0,1,1
"35",63,11,"M",57,"sim",1,0,0,0,1,1
"36",54,12,"M",26,"sim",1,0,1,0,1,1
"37",52,12,"M",18,"sim",1,0,0,0,1,1
"38",47,12,"F",32,"sim",1,1,1,0,1,1
"39",65,12,"M",46,"sim",1,0,1,0,1,1
"41",57,13,"M",55,"sim",1,0,1,0,1,1
"42",39,13,"M",40,"sim",1,1,1,0,1,1
"50",58,16,"M",56,"sim",1,0,0,0,1,1
"51",76,17,"M",57,"sim",1,0,1,0,1,1
"52",77,17,"F",62,"sim",1,0,0,0,1,1
"53",36,18,"M",NA,"sim",1,1,0,0,1,1
"55",46,18,"F",NA,"sim",1,1,0,0,0,1
"57",41,18,"M",34,"sim",0,0,0,0,0,1
"58",48,18,"F",29,"sim",1,1,0,0,0,1
"60",38,20,"M",21,"sim",1,1,0,0,0,1
"61",50,20,"M",45,"sim",1,0,1,0,1,1
"62",59,20,"M",37,"sim",1,0,0,0,1,1
"63",40,20,"F",NA,"sim",1,1,0,0,1,1
"75",69,22,"M",39,"sim",1,0,0,0,1,1
"76",37,22,"M",22,"sim",1,1,0,0,0,1
"77",67,22,"M",67,"sim",1,0,0,0,1,1
"78",71,23,"M",57,"sim",1,0,0,0,1,1
"79",51,23,"M",35,"sim",1,0,0,0,1,1
